Month,Category,MonthlyRevenue
2023-10,"Home & Kitchen","66,018.06"
2023-10,Books,"5,715.18"
2023-10,Clothing,"23,668.67"
2023-10,Sports,"22,617.59"
2023-10,Electronics,"143,792.56"
2023-11,"Home & Kitchen","90,113.24"
2023-11,Books,"9,717.21"
2023-11,Clothing,"41,946.66"
2023-11,Sports,"21,325.14"
2023-11,Electronics,"190,743.52"
2023-12,"Home & Kitchen","71,855.25"
2023-12,Books,"7,496.35"
2023-12,Clothing,"32,589.30"
2023-12,Sports,"23,382.27"
2023-12,Electronics,"168,955.29"
2024-01,"Home & Kitchen","85,117.14"
2024-01,Books,"8,465.85"
2024-01,Clothing,"29,698.27"
2024-01,Sports,"20,173.75"
2024-01,Electronics,"183,704.36"
2024-02,"Home & Kitchen","71,625.50"
2024-02,Clothing,"28,969.32"
2024-02,Sports,"27,767.15"
2024-02,Electronics,"198,429.65"
2024-02,Books,"10,065.68"
2024-03,Clothing,"58,196.75"
2024-03,Sports,"38,638.46"
2024-03,Electronics,"238,080.42"
2024-03,"Home & Kitchen","154,253.21"
2024-03,Books,"13,926.33"
2024-04,Books,"9,534.02"
2024-04,"Home & Kitchen","68,014.81"
2024-04,Clothing,"32,364.10"
2024-04,Sports,"23,879.16"
2024-04,Electronics,"171,849.34"
2024-05,Clothing,"41,493.53"
2024-05,Sports,"32,703.63"
2024-05,Electronics,"145,201.82"
2024-05,Books,"13,492.44"
2024-05,"Home & Kitchen","107,052.45"
2024-06,"Home & Kitchen","76,359.30"
2024-06,Books,"7,434.71"
2024-06,Clothing,"29,534.61"
2024-06,Sports,"20,584.90"
2024-06,Electronics,"160,167.53"
2024-07,Clothing,"61,767.13"
2024-07,Sports,"45,570.96"
2024-07,Electronics,"338,527.21"
2024-07,Books,"19,607.12"
2024-07,"Home & Kitchen","149,244.35"
2024-08,"Home & Kitchen","79,067.35"
2024-08,Clothing,"32,782.99"
2024-08,Sports,"25,327.92"
2024-08,Electronics,"144,422.34"
2024-08,Books,"10,486.10"
2024-09,"Home & Kitchen","70,592.05"
2024-09,Clothing,"33,894.67"
2024-09,Sports,"31,261.76"
2024-09,Electronics,"164,919.78"
2024-09,Books,"10,423.20"
2024-10,Clothing,"7,384.28"
2024-10,Sports,"6,444.89"
2024-10,Electronics,"37,407.89"
2024-10,"Home & Kitchen","31,183.48"
2024-10,Books,"2,073.92"
